,name,address,cuisine,picture,menu,reviews,promos,lat,lng,restaurant_id
0,Poulet,"1 STADIUM PLACE, 01-17",European,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3025249,103.8736219,1
1,El Fuego By Collin's,"78 Airport Boulevard, 02-216, Jewel Changi Airport",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3602082,103.9897593,2
2,Nene Chicken,23 Serangoon Central 04-15/16 Serangoon Nex 556083,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3507723,103.8722585,3
3,Kopi & Tarts,"5 Straits View B2-39 Marina One, The Heart",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2782753,103.8525822,4
4,Big Bird,"78 Airport Boulevard, B2-255",Asian,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3603912,103.989642,5
5,Fatpapas,17 Bali Lane,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3008343,103.8588319,6
6,Molten Diners,"246 Upper Thomson Road, Thomson Garden Estate",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3537708,103.8342309,7
7,Sanook Kitchen,"3 Temasek Boulevard, B1-134 Suntec City Mall",Thai,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.29503,103.8583026,8
8,Nene Chicken,2 ORCHARD LINK 02-39 *SCAPE 237978,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3010294,103.8357316,9
9,D'Laksa,2 Tampines Central 5 01-36 Century Square,Chinese,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3527359,103.943597,10
10,13 Miles,"596B Sembawang Road, 01-00, Sembawang Springs Estate",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4392397,103.8279643,11
11,1A Heritage,"209 New Upper Changi Road, 01-633",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3248087,103.9313795,12
12,Fluffstack,"3 Temasek Boulevard, B1-K4, Suntec City Mall",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.29503,103.8583026,13
13,Newton 51,500 Clemenceau Avenue North 01-51 Newton Food Centre,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3119097,103.8393033,14
14,Fluffstack,"1 Northpoint Drive, 02-115, Northpoint City",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4284725,103.8359864,15
15,CHOPSTIX & RICE,400 ORCHARD ROAD 04-37/38 ORCHARD TOWERS 238875,Malay,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3072293,103.8293323,16
16,Buffet Town,"252 North Bridge Road B1-44E, Raffles City Shopping Centre",International,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2945338,103.8532087,17
17,Ayam Penyet (S11) @ Cantine Jurong Point,"1 Jurong West Central 2, B1-42/43/44, Jurong Point",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3397443,103.7067297,18
18,Poulet,"252 NORTH BRIDGE ROAD, B1-65/66, RAFFLES CITY SHOPPING CENTRE",European,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2934352,103.8537358,19
